년,월,업종코드,업종명,매출액
2020,6,2305,서양식전문점,547569322
2020,6,2307,패스트푸드점,596229292
2020,6,2309,치킨전문점,939714702
2020,6,2310,식음료(기타),183541240
2020,6,2401,기타음식점,231668178
2020,6,2402,뷔페.출장연회,68427240
2020,6,2501,제과.제빵,1020020087
2020,6,2502,커피전문점,1288678674
2020,6,2503,아이스크림전문점,74673116
2020,6,2601,일반주점,378024305
2020,6,2602,주류전문점,4880800
2020,6,2604,기타주점,1299500
2020,6,3101,가전제품,1349050335
2020,6,3102,정수기.비데,5801541
2020,6,3104,기타전자제품,49914760
2020,6,3201,컴퓨터및소프트웨어,89284074
2020,6,3202,통신기기,47515280
2020,6,3203,"철재,사무용가구",10246350
2020,6,3204,기타사무용기기,12207725
2020,6,3301,가구판매점,2083123148
2020,6,3302,기타가정.주방용품,285132707
2020,6,3303,조명기구.전기,55040315
2020,6,3402,"보일러,펌프,샷시",90517922
2020,6,3403,기타건축자재,224016602
2020,6,3405,실내장식(인테리어),71329481
2020,6,3501,중고품판매점,40706895
2020,6,3503,기타장비임대,103291349
2020,6,3504,기타수리.수선전문,164685700
2020,6,3601,기타부동산관련업,3845100
2020,6,3602,부동산중개,1620500
2020,6,3801,웨딩토탈서비스,46813422
2020,6,3802,예식장,107694500
2020,6,3803,기타가례서비스,32508800
2020,6,4101,종합병원,1238837227
2020,6,4102,일반병원,575753702
2020,6,4103,한방병원,198748927
2020,6,4104,요양병원,443142087
2020,6,4201,치과,3074385343
2020,6,4202,내과,595941443
2020,6,4203,신경정신과,165255194
2020,6,4204,외과,233408212
2020,6,4205,성형외과,232098552
2020,6,4206,산부인과,254362520
2020,6,4207,안과,232504030
2020,6,4208,이비인후과,44576219
2020,6,4209,피부과,634551182
2020,6,4211,기타의료업,476915757
2020,6,4212,한의원,589975581
2020,6,4214,소아과,92791364
2020,6,4215,정형외과,920399302
2020,6,4401,의약품판매,231986259
2020,6,4402,약국,2249784115
2020,6,4403,한약방,48969540
2020,6,4501,기타약품.의료기기,281296064
2020,6,4601,산후조리원,670009368
2020,6,5102,대형할인점,696000
2020,6,5103,기타상설할인.아울렛,333575751
2020,6,5201,슈퍼마켓.마트,4791885296
2020,6,5202,편의점,1910261855
2020,6,5203,소비조합(구내매점),239218800
2020,6,5204,농수축협직판장,941906720
2020,6,5205,농협식품전문점,1011637145
2020,6,5206,체인스토어,403422511
2020,6,5301,기타,109261787
2020,6,5302,기타종합소매점,43410522
2020,6,5402,비료.사료.종자,18544921
2020,6,5501,인터넷상거래,218000
2020,6,5602,통신.방문판매,142518277
2020,6,6101,호텔(특급),13549785
2020,6,6102,호텔(특급외),73924882
2020,6,6103,기타숙박업소,29456200
2020,6,6104,레저용숙박업소,699800
2020,6,6201,여행사,1768000
2020,6,6203,"수집품,기념품",496000
2020,6,6204,차량임대(렌터카),3218350
2020,6,6205,선물용품점,11166000
2020,6,6302,택시,200000
2020,6,6402,자동차(수입신차),12821616
2020,6,6403,자동차(중고차),10340000
2020,6,6404,오토바이,53314059
2020,6,6501,차량부품.용품,390186384
2020,6,6502,자동차정비,982683351
2020,6,6504,타이어판매점,233269851
2020,6,6601,주유소,2935238938
2020,6,6602,주유소(LPG),198780462
2020,6,6603,기타연료판매,25665932
2020,6,6701,주차장.폐차장,33061940
2020,6,6702,세차장,64926710
2020,6,6705,고속도로통행카드,800
2020,6,7101,유치원,10591630
2020,6,7103,대학교.대학원,1815800
2020,6,7201,"입시학원,보습학원",4362499623
2020,6,7202,외국어학원,1945645864
2020,6,7204,무술도장 등(학원),445080681
2020,6,7205,예체능계열학원,786311818
2020,6,7210,자동차운전학원,103435010
2020,6,7211,기술.직업훈련학원,143621310
2020,6,7213,기타교육.교습.학원,1701319850
2020,6,7301,요양.보육.복지시설,49985310
2020,6,7303,교육및교구,51805720
2020,6,8101,서적(출판),535842191
2020,6,8102,"문구,사무용품",281491794
2020,6,8103,비디오.음반,1101600
2020,6,8104,악기판매점,77719690
2020,6,8105,"기타레저,스포츠용품",470968388
2020,6,8106,자전거,293556087
2020,6,8107,카메라.캠코더,10675000
2020,6,8109,예술품.골동품,1771340
2020,6,8110,화원.화초,156728731
2020,6,8111,"애완동물,용품(수족관)",107814515
2020,6,8112,기타상품판매점,233202803
2020,6,8113,사진관.현상소,128072126
2020,6,8114,점술업,1004000
2020,6,8115,동물병원,278021450
2020,6,8117,완구,45134950
2020,6,8119,화방.표구점,3653900
2020,6,8120,민예품.공예품,17559500
2020,6,8121,전문스포츠용품점,303190200
2020,6,8202,기타오락.휴식시설,21035600
2020,6,8203,영화.공연장,3088000
2020,6,8302,골프장,76570100
2020,6,8305,헬스클럽,328991773
2020,6,8308,당구장,26191800
2020,6,8309,골프연습장,210795021
2020,6,8310,기타취미.레저.스포츠,891697696
2020,6,8401,오락실/PC방,60947750
2020,6,8402,노래방,42468700
2020,6,8405,사우나.목욕탕.찜질방,114551550
2020,6,8406,기타대인서비스,28520000
2020,6,8501,기타요금,2737800
2020,6,8503,종합레저타운,18695130
2020,6,8603,안마시술소,80000
2020,6,9204,공과금,5258230
2020,6,9207,공공편의서비스,154100
2020,6,9301,이사/화물운송업,27236160
2020,6,9303,택배서비스,2311420
2020,6,9305,기타운송기구,12185730
2020,6,9306,창고보관업,801050
2020,6,9402,판촉물.인쇄.복사,40208825
2020,6,9407,기계.장비(기타),20666342
2020,6,9502,법무전문서비스,10546350
2020,6,9503,세무전문서비스,3584000
2020,6,9504,광고기획.대행업,14493600
2020,6,9511,기타전문서비스,40888430
2020,6,9602,기타서비스,293080314
2020,6,9801,각종단체회비,7745500
